,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YHR111W,0.822877260262686,0.05065371058069,0.660731737441884,-0.772223549681996,0.8245926315876005,-1.02562280435156
YGL247W,0.8169493693825352,0.0434616860504709,0.9055383804528242,-0.7734876833320642,0.774406444203233,-3.292964489787701
YOR166C,0.8952786330822816,0.1213852919728636,-0.4415878559785282,-0.773893341109418,0.7930228723867021,-0.08498102912249976
YBR203W,0.8480460088968175,0.0737494608964786,0.7424541305950941,-0.7742965480003389,0.8705801155584554,-1.793641215278019
YNL201C,0.2080309403200624,-0.5686852893506873,-0.1392675857715199,-0.7767162296707497,0.3760066756896371,-2.949179877306964
YMR263W,0.7924413209482739,0.0151863595099019,0.4270125707269399,-0.7772549614383719,0.6934341039195632,-5.943836376199187
YNL080C,0.933830103201064,0.1557856042038181,0.6769401770661044,-0.7780444989972457,0.9205541451357372,-0.5226282360277762
YNL091W,0.7754905199629036,-0.0026706411863965,0.5076109144055688,-0.7781611611493002,0.8111768209445641,-0.9841925854066117
YDR142C,0.901487742298216,0.1231775269074273,0.2897863987855976,-0.7783102153907887,0.9213643371008564,-0.4909174322638369
YNL318C,0.6507278890887387,-0.1281622677973839,0.6974375975446392,-0.7788901568861226,0.7374998510554172,-8.068909362626012
YKL054C,0.8976049378419373,0.1184076026469632,0.5408359668816725,-0.779197335194974,0.928481769608592,-0.047645098393888995
YNL287W,0.926622113181972,0.1474140402654403,0.6684622294119609,-0.7792080729165315,0.8905065481196043,-2.609679024900487
YER110C,0.2294079012895121,-0.5501779958542419,-1.4584796580398025,-0.779585897143754,0.180176990372134,-0.5453273456428291
YIL040W,0.8009442534258333,0.0192013204204787,0.7350344833897646,-0.7817429330053546,0.8312356565750701,-0.7668467729432933
YBL085W,0.9447414804373598,0.1628935115479508,0.6686692277633173,-0.781847968889409,0.95927350609756,0.26145571371439785
